Latitude,Longitude,Depth_in_Feet
17.970083333333335,-67.04615,6.26
17.970083333333335,-67.04615,6.56
17.970083333333335,-67.04615,6.21
17.970066666666668,-67.04615,6.24
17.970066666666668,-67.04615,5.97
17.970066666666668,-67.04616666666666,5.16
17.97005,-67.04616666666666,4.39
17.97005,-67.04618333333333,3.73
17.97005,-67.04618333333333,3.27
17.970033333333333,-67.04618333333333,3.37
17.970016666666666,-67.04618333333333,3.49
17.97,-67.04618333333333,4.15
17.969966666666668,-67.04616666666666,3.71
17.96995,-67.04616666666666,3.20
17.96995,-67.04615,3.62
17.969933333333334,-67.04613333333333,3.05
17.969916666666666,-67.04613333333333,3.00
17.9699,-67.04613333333333,3.44
17.969883333333332,-67.04613333333333,3.52
17.969866666666668,-67.04611666666666,3.47
17.96985,-67.04611666666666,3.91
17.969816666666667,-67.04611666666666,3.66
17.9698,-67.04611666666666,4.01
17.9698,-67.04613333333333,4.13
17.969783333333332,-67.04615,4.76
17.969783333333332,-67.04616666666666,5.14
17.969766666666665,-67.04616666666666,4.90
17.969733333333334,-67.04618333333333,5.46
17.969733333333334,-67.04618333333333,5.10
17.9697,-67.04616666666666,5.14
17.969683333333332,-67.04616666666666,4.63
17.969683333333332,-67.04615,4.05
17.969666666666665,-67.04613333333333,3.95
17.96965,-67.04611666666666,4.03
17.969633333333334,-67.0461,3.39
17.969633333333334,-67.0461,3.32
17.9696,-67.04608333333333,3.27
17.9696,-67.04608333333333,3.91
17.969583333333333,-67.04606666666666,3.69
17.969566666666665,-67.04606666666666,3.64
17.96955,-67.04606666666666,3.32
17.969533333333334,-67.04605,3.10
17.969516666666667,-67.04606666666666,3.18
17.9695,-67.04606666666666,3.27
17.969483333333333,-67.04608333333333,3.20
17.969483333333333,-67.0461,4.03
17.969483333333333,-67.0461,3.91
17.9695,-67.0461,3.91
17.969516666666667,-67.0461,3.93
17.969533333333334,-67.0461,3.57
17.96955,-67.0461,3.62
17.969566666666665,-67.0461,3.76
17.9696,-67.0461,4.70
17.969616666666667,-67.04611666666666,4.14
17.969616666666667,-67.04613333333333,3.98
17.969633333333334,-67.04615,5.02
17.969633333333334,-67.04616666666666,5.10
17.96965,-67.04618333333333,5.56
17.969666666666665,-67.0462,5.78
17.969683333333332,-67.04621666666667,6.21
17.9697,-67.04621666666667,6.38
17.969716666666667,-67.04623333333333,6.92
17.96975,-67.04623333333333,6.33
17.969766666666665,-67.04625,6.38
17.969766666666665,-67.04625,6.21
17.969783333333332,-67.04626666666667,5.99
17.9698,-67.04625,5.68
17.969816666666667,-67.04623333333333,5.31
17.969833333333334,-67.04621666666667,5.10
17.969833333333334,-67.04621666666667,5.27
17.969833333333334,-67.04621666666667,5.14
17.969833333333334,-67.04621666666667,5.44
17.969816666666667,-67.04623333333333,5.73
17.9698,-67.04625,5.82
17.969783333333332,-67.04626666666667,7.21
17.969783333333332,-67.04628333333334,7.01
17.969766666666665,-67.0463,7.40
17.969766666666665,-67.04633333333334,7.62
17.969766666666665,-67.04633333333334,7.87
17.969766666666665,-67.04636666666667,8.42
17.96975,-67.04638333333334,8.20
17.969733333333334,-67.04638333333334,8.37
17.969716666666667,-67.04638333333334,8.32
17.9697,-67.04638333333334,8.13
17.969683333333332,-67.04638333333334,8.24
17.969666666666665,-67.04638333333334,8.15
17.96965,-67.04638333333334,7.98
17.969633333333334,-67.04638333333334,8.15
17.9696,-67.04638333333334,7.76
17.969583333333333,-67.04638333333334,8.01
17.969566666666665,-67.04636666666667,8.10
17.96955,-67.04636666666667,7.98
17.969533333333334,-67.04636666666667,7.76
17.969516666666667,-67.04636666666667,7.81
17.969483333333333,-67.04636666666667,7.81
17.969466666666666,-67.04636666666667,7.57
17.96945,-67.04636666666667,7.35
17.969433333333335,-67.04636666666667,7.35
17.969433333333335,-67.04635,6.50
17.969433333333335,-67.04633333333334,6.02
17.969433333333335,-67.0463,5.55
17.969433333333335,-67.0463,5.02
17.96945,-67.04628333333334,5.12
17.969466666666666,-67.04626666666667,5.10
17.969483333333333,-67.04628333333334,5.90
17.969483333333333,-67.0463,6.31
17.9695,-67.04631666666667,6.87
17.969516666666667,-67.04631666666667,7.17
17.969533333333334,-67.04631666666667,6.85
17.96955,-67.04631666666667,7.18
17.969566666666665,-67.04633333333334,7.57
17.969583333333333,-67.04633333333334,7.37
17.9696,-67.04631666666667,7.27
17.969616666666667,-67.04631666666667,7.52
17.969633333333334,-67.04633333333334,7.49
17.96965,-67.04631666666667,7.64
17.969683333333332,-67.04633333333334,7.25
17.9697,-67.04633333333334,7.59
17.969716666666667,-67.04633333333334,7.52
17.969733333333334,-67.04631666666667,7.27
17.969733333333334,-67.04631666666667,7.57
17.969733333333334,-67.04631666666667,7.57
17.969716666666667,-67.04631666666667,7.47
17.9697,-67.04628333333334,7.16
17.969683333333332,-67.04628333333334,7.06
17.969683333333332,-67.04626666666667,6.89
17.969666666666665,-67.04626666666667,6.86
17.96965,-67.04626666666667,6.74
17.969616666666667,-67.04626666666667,6.13
17.9696,-67.04626666666667,6.28
17.969583333333333,-67.04625,6.35
17.969566666666665,-67.04625,5.96
17.96955,-67.04625,6.08
17.969533333333334,-67.04625,5.52
17.969516666666667,-67.04623333333333,5.34
17.9695,-67.04621666666667,4.88
17.9695,-67.0462,4.73
17.9695,-67.04618333333333,4.44
17.9695,-67.04615,4.53
17.969516666666667,-67.04615,4.38
17.96955,-67.04615,4.63
17.96955,-67.04616666666666,4.55
17.96955,-67.04618333333333,4.82
17.969566666666665,-67.0462,5.29
17.969583333333333,-67.0462,5.41
17.969583333333333,-67.0462,5.02
17.969583333333333,-67.04618333333333,4.75
17.9696,-67.04616666666666,4.68
17.969616666666667,-67.04616666666666,4.90
17.969633333333334,-67.04618333333333,4.99
17.969633333333334,-67.04618333333333,5.70
17.969633333333334,-67.0462,5.89
17.969633333333334,-67.04621666666667,5.96
17.96965,-67.04621666666667,5.70
17.96965,-67.04623333333333,6.50
17.969666666666665,-67.04625,6.79
17.969683333333332,-67.04626666666667,6.96
17.9697,-67.04626666666667,6.96
17.969716666666667,-67.04626666666667,7.27
17.969733333333334,-67.04628333333334,7.20
17.96975,-67.04628333333334,7.08
17.96975,-67.04628333333334,7.22
17.969766666666665,-67.04628333333334,6.77
17.969783333333332,-67.04628333333334,6.55
17.9698,-67.04628333333334,6.38
17.969833333333334,-67.04626666666667,6.26
17.96985,-67.04626666666667,6.16
17.969866666666668,-67.04626666666667,5.78
17.969883333333332,-67.04626666666667,5.88
17.9699,-67.04626666666667,5.68
17.969916666666666,-67.04625,5.46
17.96995,-67.04625,5.36
17.969966666666668,-67.04625,5.10
17.96998333333333,-67.04625,5.02
17.97,-67.04623333333333,4.39
17.970016666666666,-67.04623333333333,4.32
17.970016666666666,-67.04623333333333,4.39
17.970033333333333,-67.04623333333333,4.07
17.97005,-67.04623333333333,4.56
17.97005,-67.04623333333333,4.49
17.97005,-67.04621666666667,4.44
17.97005,-67.04621666666667,4.51
17.970066666666668,-67.0462,4.64
17.970066666666668,-67.04618333333333,5.51
17.970083333333335,-67.04618333333333,6.12
17.9701,-67.04618333333333,6.60
17.9701,-67.04618333333333,6.43
17.9701,-67.04618333333333,5.92
17.9701,-67.04618333333333,6.26
17.9701,-67.04618333333333,6.36
17.9701,-67.04618333333333,6.31
17.970116666666666,-67.04616666666666,6.48
17.970116666666666,-67.04616666666666,6.36
17.970116666666666,-67.04616666666666,6.48
17.970116666666666,-67.04616666666666,1.12
17.9701,-67.04618333333333,1.12
17.9701,-67.0462,1.12
17.9701,-67.0462,1.15
17.970083333333335,-67.04621666666667,1.12
17.970083333333335,-67.04621666666667,1.10