Latitude,Longitude,Depth in Feet
18.09945,-67.19028333333333,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.099433333333334,-67.19026666666667,1.51
18.09945,-67.19028333333333,1.51
18.099433333333334,-67.19028333333333,1.49
18.099433333333334,-67.19028333333333,1.51
18.099433333333334,-67.19028333333333,1.05
18.099433333333334,-67.19028333333333,1.12
18.099433333333334,-67.1903,1.12
18.099433333333334,-67.1903,1.12
18.099433333333334,-67.19031666666666,1.49
18.099433333333334,-67.19031666666666,1.61
18.09945,-67.19031666666666,1.76
18.09945,-67.19033333333333,2.07
18.099466666666668,-67.19033333333333,2.25
18.099466666666668,-67.19033333333333,1.93
18.0995,-67.19035,1.63
18.099516666666666,-67.19036666666666,1.32
18.099516666666666,-67.19038333333333,1.58
18.099533333333333,-67.1904,1.71
18.09955,-67.19041666666666,1.54
18.09955,-67.19043333333333,1.66
18.09955,-67.19045,1.88
18.099533333333333,-67.19045,1.85
18.099516666666666,-67.19043333333333,1.73
18.099516666666666,-67.19043333333333,1.54
18.0995,-67.19043333333333,1.56
18.099483333333332,-67.19043333333333,1.54
18.099466666666668,-67.19041666666666,1.61
18.099466666666668,-67.1904,1.90
18.099466666666668,-67.19038333333333,1.90
18.099466666666668,-67.19036666666666,1.80
18.099466666666668,-67.19036666666666,1.78
18.099466666666668,-67.19036666666666,1.61
18.09945,-67.19036666666666,1.36
18.099433333333334,-67.19038333333333,1.51
18.099416666666666,-67.19038333333333,1.58
18.0994,-67.1904,1.88
18.0994,-67.19041666666666,2.59
18.0994,-67.19043333333333,2.68
18.0994,-67.19045,2.86
18.099416666666666,-67.19046666666667,3.05
18.099416666666666,-67.19048333333333,2.98
18.099416666666666,-67.1905,3.42
18.099433333333334,-67.19051666666667,3.64
18.099433333333334,-67.19053333333333,3.49
18.099433333333334,-67.19055,4.01
18.09945,-67.19056666666667,3.93
18.09945,-67.19058333333334,4.15
18.099466666666668,-67.1906,4.35
18.099466666666668,-67.19061666666667,4.49
18.099466666666668,-67.19063333333334,4.59
18.099483333333332,-67.19065,4.98
18.0995,-67.19063333333334,4.56
18.0995,-67.19063333333334,4.36
18.0995,-67.19061666666667,4.20
18.0995,-67.1906,3.93
pip3 install https://github.com/matplotlib/basemap/archive/master.zip